setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yIYTi,352.3,Pereiro et al. (2011),Crystal,AAuaPl,CCCCCCCC[n+]1cccc(C)c1.[Cl-],1-octyl-3-methylpyridinium chloride,,,,,,
NyXvi,351.1,Serbanovic et al. (2010),Crystal,ADYrEJ,CCCCCCCCCCCCCCCCCCN(C)C(N(C)CCCCCCCCCCCCCCCCCC)=[N+](C)C.c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,dimethyl di-octadecyl dimethylguanidinium tetraphenylborate,,,,,,
OtoYE,301.9,Kawai et al. (2019),Crystal,ABdgWP,CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,hexyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
yMAhX,317.6,Vatascin and Dohnal (2018),Crystal,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,,,,
fahih,397.1,Xue et al. (2005),Crystal,AAhFwN,[O-][N+]([O-])=O.[N-]=[N+]=NC1=[NH+]C=CN1,2-azido-1H-imidazol-1-ium nitrate,,,,,,
weWKK,359.1,Xue et al. (2005),Crystal,AAmJpv,C[n+]1cn(N)cn1.[O-]Cl(=O)(=O)=O,"4-amino-1-methyl-4H-1,2,4-triazol-1-ium perchlorate",,,,,,
seXqY,374.9,Xenopoulous et al. (1992),Crystal,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,,,,
uyOYS,347.9,Nakamoto and Watanabe (2007),Crystal,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,,,
aaBpt,356.6,Appetecchi et al. (2011),Crystal,ABuISo,CC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,tetraethyammonium bis[(pentafluoroethyl)sulfonyl]imide,,,,,,
SBmqN,315.15,Gao et al. (2004),Crystal,AAsESv,CN(C)C(=[NH2+])N(C)C.O=C([O-])C(F)(F)F,"N,N,N',N'-tetramethylguanidine 2,2,2-trifluoroacetate",,,,,,
KMISC,370.1,Sashina et al. (2013),Crystal,AAjkra,CCCC[n+]1cccc(C)c1.[Cl-],1-butyl-3-methylpyridinium chloride,,,,,,
LnjdR,376.1,Kondratenko et al. (2021),Crystal,ABLRUa,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])c1ccccc1O,tris(2-hydroxypropyl)ammonium salicylate,,,,,,
sWHyD,303.1,Rad-Moghadam et al. (2016),Crystal,AApYuh,C[N+]=1CCCC1O.O=S(=O)([O-])Cl,1-methyl-2-oxopyrrolidin-1-ium sulfurochloridate,,,,,,
efmwU,391.1,Kondratenko et al. (2021),Crystal,ABIXUn,CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])c1cccnc1,tris(2-hydroxypropyl)ammonium nicotinate,,,,,,
zwEvM,316.4,Stejfa et al. (2020),Crystal 1,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,,,,
dCuFS,292,Fareghi-Alamdari and Hatefipour (2015),Crystal,ABXODD,C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1.N#C[N-]C#N.N#C[N-]C#N,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide),,,,,,
SclpC,367.15,Coker et al. (1970),Crystal 1,ABgusv,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.F[B-](F)(F)F,"N,N,N-trihexyl-1-hexanaminium tetrafluoroborate",,,,,,
EfFVC,291.4,Domanska et al. (2009e),Crystal,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
XaZgV,269,Yamamoto et al. (2017),Crystal 1,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,,,,
hQXwH,316.4,Sastry and Trivedi (2021),Crystal,ABpAzm,CC(=O)Oc1ccccc1C(=O)[O-].CCCCCCCCCCCCCCCC[n+]1ccccc1,1-hexadecylpyridinium acetylsalicylate,,,,,,
xdkHT,280.1,Dzyuba and Bartsch (2002a),Crystal,ABkmdd,CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,,,
YsuSe,267.1,Fredlake et al. (2004),Crystal,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,,,
EGjzp,216.1,Xue and Shreeve (2005),Crystal,AApTeu,Cn1cn[n+](CCN=[N+]=[N-])c1.O=[N+]([O-])[O-],"1-(2-azidoethyl)-4-methyl-1,2,4-triazolium nitrate",,,,,,
imJVr,447.1,Omar and Sadeghi (2021a),Crystal,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,,,,
NlfKj,318,Okuniewski et al. (2014),Crystal,ABrEfh,CCCCCC[n+]1cccc2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide,,,,,,
imFSv,300.1,Ngo et al. (2000),Crystal,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
zicfP,281.6,Huang et al. (2019a),Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
seyZe,267,Calvar et al. (2013a),Metastable crystal,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate,,,,,,
pmSlj,371.1,Xue et al. (2005),Crystal,AAmjRY,Cn1c[n+](C)nc1N=[N+]=[N-].O=[N+]([O-])[O-],"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium nitrate",,,,,,
bwGkN,363.1,Hill et al. (2002),Crystal 1,ABXrWT,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
GskxY,299.1,Jannasch et al. (2019),Crystal,AAvbIp,Fc1cccc[nH+]1.O=S(=O)([O-])C(F)(F)F,2-fluoropyridinium triflate,,,,,,
kKidC,281.1,Walst et al. (2015),Crystal,AEXuFr,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCCCCCCCC)CCCCCCCCCC)1c(N(CCCCCCCCCC)CCCCCCCCCC)[c+]1N(CCCCCCCCCC)CCCCCCCCCC,tris(didecylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
VcVJa,350,Vila et al. (2012),Crystal,AAtodn,CC[n+]1ccn(C)c1.[I-],1-ethyl-3-methylimidazolium iodide,,,,,,
jREcs,297.1,Zhang et al. (2009e),Crystal,ABbFQf,CCC[S+]1CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-propyltetrahydro-1H-thiophen-1-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
WxbYq,263.1,Le et al. (2015),Crystal,ABavep,CCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-butyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",,,,,,
JKDzC,326.1,Curnow et al. (2018),Crystal,ABZWrj,[N-](C#N)C#N.c(N(CCC)CCC)1c(N(CCC)CCC)[c+]1N(CCC)CCC,tris(dipropylamino)cyclopropenium dicyanamide,,,,,,
LLBxj,318.6,Tao et al. (2014),Crystal,ABsqSA,C[n+]1ccn(Cc2ccc3ccccc3c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-(naphthalen-2-ylmethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
nzPtk,328.1,Stolarska et al. (2021),Crystal,ACOVQa,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-octadecyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
eixzX,288.1,Le et al. (2015),Crystal,ABdgRn,CCC[N+](C)(CC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methyl-N-propylpropan-1-aminium bis((trifluoromethyl)sulfonyl)imide,,,,,,
XXSWE,306,Fillion et al. (2016),Crystal,AAvJGz,CCOC[P+](CC)(CC)CC.c1c[n-]nn1,"(ethoxymethyl)triethylphosphonium 1,2,3-triazolide",,,,,,
tSDyA,338.8,Mezzetta et al. (2019),Crystal,ABdiMR,CCCCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1,1-(3-hydroxypropyl)-3-methylimidazolium stearate,,,,,,
uQtRT,316.9,Brown et al. (2022),Crystal 1,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,,,
LLGDL,285.1,Allen et al. (1985),Crystal,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,
UHjTn,256.4,Domanska et al. (2016b),Crystal 1,ABWFcI,CC[S+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,diethylmethylsulfonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
PKgeg,330.1,Brunig et al. (2016),Crystal,AAjqbN,CC(=O)[O-].Cn1cc[n+](CCO)c1,1-(2-hydroxyethyl)-3-methylimidazolium acetate,,,,,,
bMEgB,492.3,Li et al. (1999),Crystal,AAmoSi,C[NH2+][C@H](C)[C@@H](O)c1ccccc1.[Cl-],ephedrine hydrochloride,,,,,,
VOeXS,378.1,Walst et al. (2015),Crystal,ABiLqC,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(C)C,tris(dimethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
yVkSA,336.1,Walst et al. (2015),Crystal,ABkwBw,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CC)C,bis(dimethylamino)(ethylmethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
fkCaT,342.8,Kalinyuk et al. (2023),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
TJOtX,326,Gonzalez et al. (2011c),Crystal,ABCGmQ,CCCC[N+]1(CC)CCCC1.CCOS(=O)(=O)[O-],1-butyl-1-ethylpyrrolidinium ethyl sulfate,,,,,,
yBByx,365.6,Ozdemir and Ozgun (2014),Crystal,ABHkDp,CCCn1c(C)cc(C)[n+]1-c1ccccc1.CS(=O)(=O)[O-],"1-phenyl-3,5-dimethyl-2-propylpyrazolium methanesulfonate",,,,,,
TUpZc,337.06,Zhu et al. (2009),Crystal,ABWagJ,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-hexadecyl-3-methylimidazolium bromide,,,,,,
qHccs,339.1,Holbrey et al. (2003b),Crystal 1,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
RbNoW,403.1,Dzyuba and Bartsch (2002a),Crystal,ABJKcM,Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,1-benzyl-3-methylimidazolium hexafluorophosphate,,,,,,
ueFKZ,379.1,Greaves et al. (2006),Crystal,AAaTxq,O=C([O-])CO.[NH3+]CCO,ethanolammonium glycolate,,,,,,
corjp,267.7,Wachter et al. (2010),Crystal,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,,,,
mSyAg,310.07,Krolikowska et al. (2014a),Crystal,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,,,,
hqRrn,320.1,Fukaya et al. (2007),Crystal,AArQBJ,C[N+](C)(C)CCO.O=C([O-])c1ccccc1,choline benzoate,,,,,,
fBtlI,399.1,Dong et al. (2009),Crystal,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",,,,,,
JnzVi,324.1,Mezzetta et al. (2019),Crystal,ABStQm,CCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1,1-(3-hydroxypropyl)-3-methylimidazolium myristate,,,,,,
XxtdU,389.1,Xue et al. (2005),Crystal,AAzIGa,Cn1c[n+](C)nc1N=[N+]=[N-].[I-],"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium iodide",,,,,,
kGzBF,325.1,Dzyuba and Bartsch (2002a),Crystal,ABOeKx,C[n+]1ccn(CCCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-(3-phenylpropyl)-1H-imidazolium hexafluorophosphate,,,,,,
jhGzm,547.1,Hefter et al. (1989),Crystal,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,,,,
cmvpy,513,Canongia Lopes et al. (2016),Crystal,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,,,,
BAJEa,328.3,Okuniewska et al. (2014),Crystal,ABrEZX,CCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-hexylisoquinolinium bis(trifluoromethylsulfonyl)imide,,,,,,
UXHbK,369.1,Kondratenko et al. (2021),Crystal,ABTWej,CC(=O)Oc1ccccc1C(=O)[O-].CC(O)C[NH+](CC(C)O)CC(C)O,tris(2-hydroxypropyl)ammonium acetylsalicylate,,,,,,
VTyeH,267.1,Dzyuba and Bartsch (2002a),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
sUfxN,268.3,Ahmed et al. (2018),Crystal,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,,,
QItUK,331.4,Mezzetta et al. (2019),Crystal,ABYOED,CCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1,1-(3-hydroxypropyl)-3-methylimidazolium palmitate,,,,,,
IFCmS,388.45,Pernak et al. (2012),Crystal,ABeCjL,CCCCCCCCCCCC[n+]1ccccc1.O=S(=O)([O-])NC1CCCCC1,1-dodecylpyridinium N-cyclohexylsulfamate,,,,,,
XtJGr,325.75,Deng et al. (2023),Crystal,AApiwC,C=C[n+]1ccn(CC(=O)OCC)c1.[Cl-],1-ethenyl-3-(2-ethoxy-2-oxoethyl)-imidazolium chloride,,,,,,
DjCfc,277,Fletcher et al. (2010),Crystal,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
BmKxi,363.1,Sakizadeh et al. (2007),Crystal,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,,,,
iexGu,392.6,Sudholter et al. (1982),Crystal,AAuaow,CCCCCCCCCc1cc[nH+]cc1.[Cl-],4-nonylpyridium chloride,,,,,,
wDuzW,337.1,El Bourakadi et al. (2019),Crystal,ABhulQ,CCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],1-dodecyl-3-methyl-2-(thiazol-4-yl)benzimidazolium nitrate,,,,,,
AluWS,358.04,Domanska et al. (2011c),Crystal 1,ABabQc,CC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,,,,,,
WZldx,379,Kubota et al. (2010b),Crystal,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,,,,,,
MmIeW,270.1,Zhou et al. (2005),Crystal 1,ABCCJx,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(trifluoromethyl)borate",,,,,,
QUOhr,217.1,Xue and Shreeve (2005),Crystal,AAttpO,[O-][Cl](=O)(=O)=O.[N-]=[N+]=NCCN1C=[NH+]C=N1,"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium perchlorate",,,,,,
MugRy,371.1,Aljuhani et al. (2018),Crystal,ABHsCQ,Cc1n(C)cc[n+]1CCCOc1ccccc1.[Br-],"1,2-dimethyl-3-(3-phenoxypropyl)-1H-imidazol-3-ium bromide",,,,,,
nCMdJ,295.4,Domanska-Zelazna and Krolikowska (2011),Crystal 1,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,,,,
nIKcz,348.75,Ozdemir and Ozgun (2017),Crystal,ABGYwr,COc1ccc(-[n+]2c(C)cc(C)n2C)cc1.F[B-](F)(F)F,"2,3,5-trimethyl-1-(4-methoxyphenyl)-pyrazolium tetrafluoroborate",,,,,,
cclxA,363.75,Mod et al. (1967),Crystal,ABQUdR,CCCCCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,hexadecanoic acid cyclohexanamine salt (1:1),,,,,,
bFrde,307.5,Melo et al. (2012),Crystal,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,,,
SpFSp,271.9,Appetecchi et al. (2011),Crystal,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,,,,
nzXUp,356.1,Nakamoto and Watanabe (2007),Crystal,AAgHOI,C1CC[NH2+]CC1.O=[PH]([O-])O,piperidinium hydrogen phosphonate,,,,,,
vyqcz,259.1,Yambou et al. (2020),Crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
ArXHX,392.1,Aljuhani et al. (2018),Crystal,ABFHHE,Cc1n(C)cc[n+]1CCOc1ccccc1.[Br-],"1,2-dimethyl-3-(2-phenoxyethyl)-1H-imidazol-3-ium bromide",,,,,,
WfXhV,265.15,Pereiro et al. (2009),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
pCCew,289,Fillion et al. (2016),Crystal,ABQmMl,CCCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethylnonylphosphonium 4-nitropyrazolide,,,,,,
TmiUI,333,Wong et al. (2002),Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
wwoIf,310.1,Dzyuba and Bartsch (2002a),Crystal,ABluws,C[n+]1ccn(CCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-methyl-3-(2-phenylethyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
gTtRH,391,Yang et al. (2019f),Crystal 1,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,,,,,,
VnRES,376.83,Krolikowska et al. (2019b),Crystal 1,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,,,,,,
yeqHA,339.46,Fernandez et al. (2017),Crystal,ABEkik,CCCC[P+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylphosphonium chloride,,,,,,
cNLbv,440.1,Palomba et al. (2018),Crystal,AAxtgX,CS(=O)(=O)[O-].C[C@H](c1ccccc1)[N+](C)(C)C,"(R)-N,N,N-trimethyl-1-phenylethan-1-aminium methanesulfonate",,,,,,
oAYBg,259.1,Walst et al. (2015),Crystal,ABvlDB,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCCCCC)C,bis(dimethylamino)(hexylmethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
ieyKH,337.1,Sudholter et al. (1982),Crystal,ACJwcs,CCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCC)C1=CC=[N+](C=C1)C.[Cl-],4-(1-hexadecylheptadecyl)-1-methylpyridinium chloride,,,,,,
qEKAO,288.1,Papaiconomou et al. (2006),Crystal,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
kFEPO,258,Fillion et al. (2016),Crystal,ABJVqX,CC[P+](CC)(CC)COCCOC.O=[N+]([O-])c1cn[n-]c1,triethyl((2-methoxyethoxy)methyl)phosphonium 4-nitropyrazolide,,,,,,
ERvNW,262.2,Domanska et al. (2017d),Crystal 1,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
PNUhj,467.59,Aurbach et al. (2006),Crystal,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,,,,,,
ZCXts,267,Calvar et al. (2013a),Crystal 1,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,,,
MdkGR,352.1,Aljuhani et al. (2018),Crystal,ABEdls,Cc1cc[n+](CCOc2ccccc2)cc1.[Br-],4-methyl-1-(2-phenoxyethyl)pyridinium bromide,,,,,,
YrLzq,328.1,Xue et al. (2005),Crystal,AArJLo,CN1C=[NH+]C(N=[N+]=[N-])=N1.[O-]Cl(=O)(=O)=O,"3-azido-1-methyl-1H-1,2,4-triazol-1-ium perchlorate",,,,,,
IqqDg,411.1,Ngo et al. (2000),Crystal,AAhejA,CCCn1cc[n+](C)c1C.[Cl-],"1,2-dimethyl-3-propylimidazolium chloride",,,,,,
fZZTe,361.4,Kalinyuk et al. (2023),Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
zIQDm,406.35,Ozdemir and Ozgun (2017),Crystal,ABHRDr,Cc1cc(C)[n+](-c2ccc(Cl)cc2)n1C.F[B-](F)(F)F,"1-(4-chlorophenyl)-2,3,5-trimethylpyrazolium tetrafluoroborate",,,,,,
KORls,299.1,Sun et al. (1998),Crystal,ACBuuj,CCCCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylhexylammonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
NfLJP,306,Gonzalez et al. (2011c),Crystal,AArlcj,CC[N+](C)(CC)CC.COS(=O)(=O)[O-],"N,N-diethyl-N-methylethanaminium methyl sulfate",,,,,,
kdTZT,263.1,Le et al. (2018),Crystal,ABavep,CCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-butyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",,,,,,
lFRgC,353.1,Dorn et al. (2010),Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
pejeg,240.2,Zhou et al. (2005),Crystal,ABJSYX,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)F,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoroethyl)borate",,,,,,
XGGpH,350.7,Domanska et al. (2015b),Crystal 1,ABBRLz,CCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-methyl-1-propylpyrrolidinium triflate,,,,,,
CiKkG,414.1,Ngo et al. (2000),Crystal,AAnWkd,CC[n+]1ccn(C)c1C.[Br-],"1-ethyl-2,3-dimethylimidazolium bromide",,,,,,
FMQif,307,Sedov and Magsumov (2022),Crystal,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,,,,
qqFWS,581.6,Abranches et al. (2019),Crystal,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,,,,,,
rzGHR,256.1,Annat et al. (2012),Crystal,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,,,,,,
EAzgF,226.36,Khan et al. (2017d),Crystal,ABaxjg,CS(=O)(=O)[O-].CS(=O)(=O)[O-].Cn1cc[n+](CCCC[n+]2ccn(C)c2)c1,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazol-3-ium) methanesulfonate",,,,,,
PWnRx,268.1,Papaiconomou et al. (2006),Crystal,AAyNDa,CCCCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,3-methyl-1-octylimidazolium dicyanamide,,,,,,
vTRPO,286.1,Papaiconomou et al. (2010),Crystal,AAqndS,CCCC[n+]1cc(C)cc(C)c1.N#C[S-],"1-butyl-3,5-dimethylpyridinium thiocyanate",,,,,,
FzuDe,295.15,Coker et al. (1970),Crystal 1,ABMMVl,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Cl-],tetrapentylammonium chloride,,,,,,
LJiYz,506.15,Schlosser (1964),Crystal,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,,,
EgVFd,303.1,Curnow et al. (2018),Crystal,ABUBNX,[N-](C#N)C#N.c(N(CC)CC)1c(N(CC)CC)[c+]1N(CCCC)CCCC,bis(diethylamino)(dibutylamino)cyclopropenium dicyanamide,,,,,,
